No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
6579,1156,GET,FALSE,4.457,9.539,12.576,8.408,2.14,2.82,1.89,,,
7567,1156,GET,FALSE,5.301,15.526,19.551,11.674,2.93,3.69,2.2,,,
4052,1156,GET,TRUE,4.723,17.351,16.444,11.328,3.67,3.48,2.4,,,
1845,1156,GET,FALSE,4.218,21.164,12.348,10.62,5.02,2.93,2.52,,,
5576,1156,GET,FALSE,4.461,13.517,13.403,10.738,3.03,3,2.41,,,
4043,1156,GET,FALSE,4.608,16.645,13.303,11.083,3.61,2.89,2.41,,,
1324,1156,GET,FALSE,4.222,24.497,16.781,10.619,5.8,3.97,2.52,,,
6099,1156,GET,FALSE,6.119,18.697,14.459,8.217,3.06,2.36,1.34,,,
224,1156,GET,FALSE,4.852,23.618,19.185,9.437,4.87,3.95,1.94,,,
5611,1156,GET,FALSE,4.939,17.59,16.174,8.875,3.56,3.27,1.8,,,
481,1156,GET,FALSE,4.06,16.753,13.882,10.333,4.13,3.42,2.55,,,
6124,1156,GET,FALSE,4.259,13.798,15.344,9.84,3.24,3.6,2.31,,,
3248,1156,GET,FALSE,4.424,15.515,15.132,8.754,3.51,3.42,1.98,,,
5526,1156,GET,FALSE,4.432,17.06,13.722,10.823,3.85,3.1,2.44,,,
1936,1156,GET,FALSE,4.36,20.765,10.83,9.907,4.76,2.48,2.27,,,
3985,1156,GET,FALSE,4.917,17.673,20.208,11.969,3.59,4.11,2.43,,,
4336,1156,GET,TRUE,4.699,22.769,17.033,12.239,4.85,3.62,2.6,,,
3625,1156,GET,FALSE,5.198,19.335,13.186,13.259,3.72,2.54,2.55,,,
3488,1156,GET,FALSE,5.069,14.179,16.442,11.427,2.8,3.24,2.25,,,
4437,1156,GET,TRUE,5.29,26.987,18.425,13.496,5.1,3.48,2.55,,,
5979,1156,GET,FALSE,3.259,8.587,9.559,5.877,2.63,2.93,1.8,,,
