No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
420,1900544,GET,true,297.126,582.204,436.661,395.037
421,10320,GET,true,6.745,44.165,21.344,16.47
422,1128,GET,false,4.692,18.833,14.586,13.666
423,6932,GET,false,6.191,19.803,18.682,9.453
424,1772,GET,true,4.059,25.811,14.84,13.241
425,2828,GET,true,5.469,23.239,17.746,13.093
426,4960,GET,true,5.363,24.544,17.398,11.992
427,2344,GET,true,4.66,21.754,13.93,12.32
428,2628,GET,false,5.063,19.723,13.407,9.852
429,65536,GET,true,16.53,35.174,24.231,24.489
430,15548416,GET,true,2389.551,5368.366,4239.326,2820.31
431,2260,GET,true,4.724,50.955,22.842,15.143
432,1584,GET,false,4.699,19.552,13.145,9.164
433,2056,PUT,false,10.373,39.878,29.778,22.862
434,2480,GET,true,5.15,23.123,18.515,18.706
435,9544,GET,false,6.535,14.754,14.172,9.601
436,86900736,GET,false,13316.026,13356.49,13322.149,13316.067
437,6712,GET,false,6.641,15.282,15.035,10.252
438,9240,GET,true,6.905,25.588,17.027,15.483
439,1584,GET,false,4.495,14.66,12.555,9.641
440,2080768,GET,false,325.164,325.118,329.447,324.119
441,33767424,GET,true,5194.576,11134.07,9082.901,6673.621
442,737280,GET,false,136.289,142.625,131.153,133.029
443,2112,GET,true,5.363,57.807,32.711,21.605
444,11500,GET,true,7.888,31.849,39.339,16.77
445,294912,GET,false,57.07,54.78,51.437,50.44
446,1584,GET,true,4.457,26.757,17.166,13.37
447,3376,GET,false,5.271,17.294,22.575,9.542
448,6716,GET,false,6.599,16.524,11.691,9.812
449,51478528,GET,false,7890.178,7900.714,7893.074,7889.906
450,107085824,GET,true,16416.049,37292.633,30028.913,19123.223
451,2420,GET,false,8.503,43.517,33.996,13.634
452,4448,GET,false,6.126,21.169,20.583,10.865
453,2628,GET,false,5.022,22.335,13.795,10.736
454,4524,GET,true,6.239,89.04,28.744,25.441
455,6968,GET,true,6.324,47.278,33.119,15.272
456,2056,PUT,false,11.431,47.445,39.791,40.864
457,1336,GET,false,4.047,18.864,15.498,10.545
458,3220,GET,false,5.21,18.401,12.942,11.417
459,30720000,GET,true,4711.514,11191.731,8805.223,6335.262
460,1152,GET,true,4.734,60.567,40.713,17.791
461,3860,GET,false,5.49,21.336,19.828,10.866
462,1356,GET,false,4.288,17.874,25.668,9.78
463,1236,GET,true,4.603,25.286,21.058,13.729
464,12284,GET,true,6.398,29.901,18.33,16.687
465,2628,GET,true,4.908,20.005,29.526,13.139
466,3000,GET,false,5.415,16.174,13.779,10.582
467,2604,GET,true,5.002,20.129,16.258,13.404
468,2420,GET,false,5.433,17.213,19.714,10.108
469,2420,GET,false,5.117,15.635,14.578,9.968
470,2420,GET,true,5.072,20.342,24.326,13.661
471,3000,GET,true,4.638,19.916,17.559,13.39
472,4656,GET,true,5.803,20.339,16.528,13.731
473,2628,GET,true,4.405,17.746,13.549,11.49
474,32768,GET,false,10.867,17.346,17.837,13.695
475,3936,GET,false,5.848,17.105,13.341,10.559
476,12996,GET,true,7.023,23.739,18.377,15.745
477,2844,GET,false,5.062,14.858,12.956,9.06
478,10764288,GET,false,1673.456,1676.142,1658.432,1673.01
479,16384,GET,true,8.743,28.468,23.294,17.56
480,1336,GET,false,3.698,14.758,12.789,7.818
481,1156,GET,false,4.06,16.753,13.882,10.333
482,6572,GET,false,6.534,15.021,13.211,9.952
483,2212,GET,false,4.824,16.128,12.015,10.621
484,3680,GET,true,5.392,21.736,26.159,14.844
485,52412416,GET,true,8035.172,18732.995,14900.934,8479.149
486,3784,GET,true,5.921,80.707,47.954,19.405
487,110215168,GET,false,16904.651,16898.301,16924.648,16886.641
488,54394880,GET,false,8356.438,8340.603,8343.857,8337.268
489,1916928,GET,false,300.773,301.6,303.732,299.886
490,1900,GET,false,6.422,19.079,14.954,9.999
491,2112,GET,false,6.355,16.722,13.651,9.845
492,2628,GET,true,5.902,28.521,25.25,16.03
493,30720000,GET,false,4726.927,4717.601,4712.5,4713.193
494,2628,GET,false,6.527,19.831,13.261,10.669
495,819200,GET,false,154.217,133.365,131.746,132.17
496,2628,GET,false,5.824,17.443,14.531,10.552
497,3860,GET,true,7.108,26.627,19.131,13.744
498,5160960,GET,false,797.072,799.009,797.873,797.799
499,3000,GET,false,7.157,17.469,20.012,10.242
500,3817472,GET,false,592.285,592.961,592.033,590.521
501,819200,GET,false,150.142,133.932,133.58,131.346
502,2097152,GET,true,327.389,707.157,552.06,465.742
503,3680,GET,false,6.047,37.14,14.831,8.382
504,1116,GET,false,5.514,22.957,14.111,10.72
505,2628,GET,false,4.449,17.904,11.202,7.069
506,2628,GET,false,5.742,21.751,13.304,9.98
507,151633920,GET,true,23230.697,52786.204,42725.061,59972.824
508,2260,GET,true,5.915,80.761,47.859,32.656
509,2144,GET,false,5.277,26.534,20.54,12.381
510,3784,GET,false,6.027,22.245,14.653,12.601
